               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 149,            0.034599,            0.015801,            0.020823,             0.58436,             0.58115,              0.5773,             0.35124,            0.033084,           0.0066053,            0.021212,            0.005116,            0.005116,            0.005116
                 150,            0.034367,            0.015771,            0.020743,             0.58469,             0.58293,             0.57718,             0.35129,            0.033088,           0.0066045,            0.021204,            0.005083,            0.005083,            0.005083
                 151,            0.034082,            0.015884,            0.020284,             0.58723,             0.58148,              0.5775,             0.35096,            0.033088,           0.0066043,            0.021265,             0.00505,             0.00505,             0.00505
                 152,            0.034032,            0.015736,            0.020958,              0.5858,             0.57962,             0.57765,             0.35115,            0.033077,           0.0066053,            0.021303,            0.005017,            0.005017,            0.005017
                 153,            0.034841,            0.015667,            0.020273,             0.58893,             0.58101,              0.5788,             0.35079,            0.033073,           0.0066043,            0.021302,            0.004984,            0.004984,            0.004984
                 154,            0.033652,            0.015593,            0.020435,             0.59273,             0.58136,             0.58098,             0.35235,            0.033069,           0.0066052,            0.021265,            0.004951,            0.004951,            0.004951
                 155,             0.03361,             0.01588,            0.021434,             0.59764,             0.58151,             0.58166,             0.35279,             0.03307,           0.0066064,            0.021221,            0.004918,            0.004918,            0.004918
                 156,            0.033627,            0.015741,            0.020267,             0.59186,              0.5823,             0.58021,             0.35164,            0.033062,           0.0066066,            0.021091,            0.004885,            0.004885,            0.004885
                 157,            0.033814,            0.015546,            0.019901,             0.59033,             0.58088,             0.58073,             0.35236,            0.033056,           0.0066061,             0.02102,            0.004852,            0.004852,            0.004852
                 158,            0.033395,            0.015654,            0.019621,             0.59296,             0.57839,             0.58154,             0.35243,            0.033063,           0.0066076,            0.021025,            0.004819,            0.004819,            0.004819
                 159,            0.033634,            0.015786,            0.019559,             0.59497,             0.57739,             0.58117,             0.35321,            0.033057,           0.0066078,            0.021006,            0.004786,            0.004786,            0.004786
                 160,             0.03416,            0.015599,            0.019958,             0.59541,             0.57748,             0.58168,             0.35344,            0.033069,           0.0066076,            0.020987,            0.004753,            0.004753,            0.004753
                 161,             0.03394,            0.015637,             0.01924,             0.59716,              0.5787,             0.58357,             0.35421,            0.033077,            0.006607,            0.021029,             0.00472,             0.00472,             0.00472
